Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
APITestSuite,,,,30-10-2024 21:29:23,30-10-2024 21:29:30,"6,449s",PASSED
,,,,,,,
Test Cases/API/TC01_Get_ListUsers,,,,30-10-2024 21:29:23,30-10-2024 21:29:27,"3,982s",PASSED
Start listener action : beforeTestCase,,,,30-10-2024 21:29:24,30-10-2024 21:29:24,"0,076s",PASSED
"response = sendRequestAndVerify(findTestObject(""UserAPI/Get_ListUsers"", [""baseUrl"":baseUrl]))",,,,30-10-2024 21:29:24,30-10-2024 21:29:27,"3,618s",PASSED
"verifyResponseStatusCode(response, 200)",,,,30-10-2024 21:29:27,30-10-2024 21:29:27,"0,007s",PASSED
"verifyElementsCount(response, ""data.first_name"", 6)",,,,30-10-2024 21:29:27,30-10-2024 21:29:27,"0,029s",PASSED
"verifyElementPropertyValue(response, ""data[1].first_name"", ""Janet"")",,,,30-10-2024 21:29:27,30-10-2024 21:29:27,"0,026s",PASSED
Start listener action : afterTestCase,,,,30-10-2024 21:29:27,30-10-2024 21:29:27,"0,013s",PASSED
,,,,,,,
Test Cases/API/TC02_Get_SingleUser,,,,30-10-2024 21:29:27,30-10-2024 21:29:28,"0,472s",PASSED
Start listener action : beforeTestCase,,,,30-10-2024 21:29:27,30-10-2024 21:29:27,"0,006s",PASSED
"response = sendRequestAndVerify(findTestObject(""UserAPI/Get_SingleUser"", [""page"":""1""]))",,,,30-10-2024 21:29:28,30-10-2024 21:29:28,"0,300s",PASSED
"verifyResponseStatusCode(response, 200)",,,,30-10-2024 21:29:28,30-10-2024 21:29:28,"0,004s",PASSED
"verifyElementPropertyValue(response, ""data.id"", 2)",,,,30-10-2024 21:29:28,30-10-2024 21:29:28,"0,020s",PASSED
"verifyElementPropertyValue(response, ""data.first_name"", ""Janet"")",,,,30-10-2024 21:29:28,30-10-2024 21:29:28,"0,017s",PASSED
"responseEmail = getElementPropertyValue(response, ""data.email"")",,,,30-10-2024 21:29:28,30-10-2024 21:29:28,"0,027s",PASSED
userEmail = responseEmail,,,,30-10-2024 21:29:28,30-10-2024 21:29:28,"0,001s",PASSED
println(responseEmail),,,,30-10-2024 21:29:28,30-10-2024 21:29:28,"0,004s",PASSED
jsonResponse = JsonSlurper().parseText(response.getResponseBodyContent()),,,,30-10-2024 21:29:28,30-10-2024 21:29:28,"0,003s",PASSED
println(jsonResponse),,,,30-10-2024 21:29:28,30-10-2024 21:29:28,"0,001s",PASSED
Start listener action : afterTestCase,,,,30-10-2024 21:29:28,30-10-2024 21:29:28,"0,002s",PASSED
,,,,,,,
Test Cases/API/TC03_PUT_UpdateUser,,,,30-10-2024 21:29:28,30-10-2024 21:29:29,"0,625s",PASSED
Start listener action : beforeTestCase,,,,30-10-2024 21:29:28,30-10-2024 21:29:28,"0,001s",PASSED
"response = sendRequest(findTestObject(""UserAPI/PUT_UpdateUser"", [""baseUrl"":baseUrl, ""userName"":userName, ""userJob"":userJob]))",,,,30-10-2024 21:29:28,30-10-2024 21:29:28,"0,509s",PASSED
"verifyResponseStatusCode(response, 200)",,,,30-10-2024 21:29:28,30-10-2024 21:29:28,"0,003s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,30-10-2024 21:29:28,30-10-2024 21:29:28,"0,002s",PASSED
result = slurper.parseText(response.getResponseBodyContent()),,,,30-10-2024 21:29:28,30-10-2024 21:29:28,"0,001s",PASSED
println(result),,,,30-10-2024 21:29:28,30-10-2024 21:29:28,"0,001s",PASSED
"verifyElementPropertyValue(response, ""name"", userName)",,,,30-10-2024 21:29:28,30-10-2024 21:29:29,"0,019s",PASSED
"verifyElementPropertyValue(response, ""job"", userJob)",,,,30-10-2024 21:29:29,30-10-2024 21:29:29,"0,020s",PASSED
Start listener action : afterTestCase,,,,30-10-2024 21:29:29,30-10-2024 21:29:29,"0,002s",PASSED
,,,,,,,
Test Cases/API/TC04_POST_RegisterSuccessful,,,,30-10-2024 21:29:29,30-10-2024 21:29:30,"1,162s",PASSED
Start listener action : beforeTestCase,,,,30-10-2024 21:29:29,30-10-2024 21:29:29,"0,002s",PASSED
"callTestCase(findTestCase(""API/TC02_Get_SingleUser""), [:], STOP_ON_FAILURE)",,,,30-10-2024 21:29:29,30-10-2024 21:29:29,"0,394s",PASSED
println(userEmail),,,,30-10-2024 21:29:29,30-10-2024 21:29:29,"0,002s",PASSED
"response = sendRequestAndVerify(findTestObject(""UserAPI/POST_RegisterSuccessful""))",,,,30-10-2024 21:29:29,30-10-2024 21:29:30,"0,671s",PASSED
"verifyResponseStatusCode(response, 200)",,,,30-10-2024 21:29:30,30-10-2024 21:29:30,"0,002s",PASSED
jsonResponse = JsonSlurper().parseText(response.getResponseBodyContent()),,,,30-10-2024 21:29:30,30-10-2024 21:29:30,"0,001s",PASSED
println(jsonResponse),,,,30-10-2024 21:29:30,30-10-2024 21:29:30,"0,001s",PASSED
Start listener action : afterTestCase,,,,30-10-2024 21:29:30,30-10-2024 21:29:30,"0,001s",PASSED
